术语,别名,类别,多标签,备注
醉机,系统错乱;System Confusion,异常现象,软件相关,系统行为异常，功能紊乱，但尚未死机或重启，通常需重启恢复。
对焦失败,无法对焦;Focus Fail,异常现象,影像相关;摄像头模组,**定义**: 摄像头无法正确锁定焦点。 **判定口径**: AF成功率 <95%。 **常见场景**: 暗光/微距/移动拍摄。 **排查路径**: 检查固件→电机→镜头洁净度。 **对策**: 增加AF日志采集，改善模组洁净管控。
死机,系统死机;Hang,异常现象,软件相关;硬件相关,**定义**: 系统停止响应。 **判定口径**: 连续无响应 >30s。 **常见场景**: 高并发任务/内存不足。 **排查路径**: 抓取log→检查内存/CPU占用。 **对策**: 优化系统调度，增加watchdog。
电流过大,Over Current,异常现象,硬件相关;电气性能,**定义**: 工作电流超过额定值。 **判定口径**: 电流 >1.5×额定。 **常见场景**: 充电、射频发射。 **排查路径**: 检查供电→替换IC。 **对策**: 增加过流保护，优化电源管理。
短路,Short Circuit,异常现象,硬件相关;电气连接,**定义**: 电路异常导通。 **判定口径**: 电阻 <1Ω。 **常见场景**: PCBA调试。 **排查路径**: 热像定位→逐级隔离。 **对策**: 增加保护设计，加强制程防呆。
松脱,松动;Loose,异常现象,结构相关;可靠性,**定义**: 螺丝/卡扣失去紧固力。 **判定口径**: 力矩 <70% 标准。 **常见场景**: 跌落/运输。 **排查路径**: 检查扭矩记录。 **对策**: 增加锁附监控，改善螺丝工艺。
虚焊,假焊;Cold Solder,异常现象,SMT;制造工艺,**定义**: 焊点不牢固。 **判定口径**: X-Ray 显示空洞 >20%。 **常见场景**: PCBA生产。 **排查路径**: 检查焊膏→回流工艺。 **对策**: 增强锡膏管理，优化工艺窗口。
噪音,杂音;Noise,异常现象,声学;硬件相关,**定义**: 通话/播放时出现异常声音。 **判定口径**: SNR <20dB。 **常见场景**: 通话/音频播放。 **排查路径**: 检查麦克风→音频IC。 **对策**: 优化声学设计，改善防尘网。
亮度不均,屏幕亮度不均;Brightness Uneven,异常现象,显示相关;影像相关,**定义**: 屏幕不同区域亮度差异。 **判定口径**: ΔL/L >20%。 **常见场景**: 灰阶测试。 **排查路径**: 检查背光模组。 **对策**: 改善背光均匀性设计。
锌合金模垢,锌合金模具沉积物,异常现象,制造工艺;外观,锌合金压铸时，合金元素在模具表面析出形成的污垢，影响铸件表面质量。
爬行腐蚀,creep corrosion,异常现象,可靠性;PCB;硬件相关,在含硫气氛中，银等金属表面生成导电性硫化物绒毛，并在电场下延伸生长，导致短路。
爆米花效应,popcorning,异常现象,可靠性;SMT;封装,受潮的IC封装在回流焊高温下，内部水分急速汽化导致封装材料开裂。
锡须,Tin Whisker,异常现象,可靠性;硬件相关;PCB,纯锡镀层表面自发生长的细长锡晶须，可能引起短路。高铅或合金镀层可抑制。
冷焊点,Cold Solder Joint,异常现象,SMT;制造工艺;可靠性,焊点温度不足，焊料未完全熔化，表面粗糙呈灰暗色，连接强度极差。
银迁移,Silver Migration,异常现象,可靠性;硬件相关;PCB,在直流电场和湿度作用下，银离子在绝缘体表面迁移析出，导致绝缘下降和短路。
电化学迁移,ECM,异常现象,可靠性;PCB;硬件相关,详见前表电糊。
缩水痕,Sink Mark,异常现象,制造工艺;注塑;外观,塑胶件在肉厚较大区域因冷却收缩不均而产生的表面凹陷。
焊料球,Solder Ball,异常现象,SMT;制造工艺;可靠性,回流焊后，在焊盘周围或器件底部形成的独立小球，是焊接不良的一种。
彩虹纹,Newton's Rings,异常现象,显示相关;外观;摄像头模组,两层透明材料因微小间隙产生光干涉形成的彩色环状条纹。
引脚浮高,Lead Lifting,异常现象,SMT;制造工艺;可靠性,元件引脚未与焊盘接触而翘起，通常发生在维修或应力冲击后。
晶振频偏,Crystal Frequency Deviation,异常现象,硬件相关;可靠性;通信相关,晶体振荡器的实际输出频率偏离其标称频率超出允许范围。
助焊剂残留,Flux Residue,异常现象,SMT;制造工艺;可靠性,焊接后残留的助焊剂，若具腐蚀性或影响绝缘，需清洗或使用免清洗型。
焊点疲劳,Solder Joint Fatigue,异常现象,可靠性;SMT;硬件相关,焊点在温度循环或机械应力下，因热膨胀系数不匹配而产生的裂纹和失效。
模内应力,Molded-in Stress,异常现象,制造工艺;注塑;可靠性,塑胶件在注塑成型过程中产生的内应力，是后续变形和开裂的根源。
锡瘟,Tin Pest,异常现象,可靠性;物料;硬件相关,纯锡在低温下（<13.2°C）由白锡（β锡）转变为灰锡（α锡）的相变，伴随体积膨胀和粉末化。
板翘,Board Warpage,异常现象,PCB;制造工艺;可靠性,PCB本身的翘曲。
电迁移,Electromigration,异常现象,可靠性;硬件相关;半导体,集成电路金属互连线中，在高电流密度下金属原子沿电子流方向迁移，导致导线开路或短路。
锡珠飞溅,Solder Ball Splashing,异常现象,SMT;制造工艺;可靠性,回流焊时，因预热不足或助焊剂沸腾导致锡膏中的锡珠飞散到焊盘外。
板边毛刺,Board Edge Burr,异常现象,PCB;制造工艺;外观,PCB分板后边缘产生的突出物。
触控失灵,触摸屏无响应;Touch Fail,异常现象,显示相关;人机交互,**定义**: 触摸操作无效或延迟。 **判定口径**: 单点/多点触控测试失败。 **常见场景**: 高湿环境、屏幕贴膜。 **排查路径**: 检查TP模组→固件→驱动IC。 **对策**: 优化算法，改善屏幕贴合。
信号弱,信号差;Low Signal,异常现象,通信相关;用户体验,**定义**: 手机在正常网络环境下信号强度不足。 **判定口径**: RSRP < -110dBm。 **常见场景**: 地铁、地下室。 **排查路径**: 检查天线设计→射频通道。 **对策**: 优化天线布局，增加功放。
通话掉线,Call Drop,异常现象,通信相关;用户体验,**定义**: 通话过程中意外中断。 **判定口径**: 掉话率 >2%。 **常见场景**: 移动场景、弱覆盖。 **排查路径**: 抓取log→检查协议栈→网络条件。 **对策**: 优化射频功率控制，改善切换策略。
充电慢,慢充;Slow Charging,异常现象,电池;硬件相关,**定义**: 充电速率低于设计值。 **判定口径**: 充电电流 < 额定值 70%。 **常见场景**: 使用非原装充电器。 **排查路径**: 检查充电IC→协议识别。 **对策**: 增加兼容性测试，优化协议栈。
充不进电,无法充电;Not Charging,异常现象,电池;硬件相关,**定义**: 手机接入电源无法充电。 **判定口径**: 电池电量无上升。 **常见场景**: 接口损坏、过放保护。 **排查路径**: 检查充电口→电池保护板。 **对策**: 增强接口防护，优化BMS策略。
电池发热,充电发烫;Battery Heating,异常现象,电池;安全相关,**定义**: 电池温度异常升高。 **判定口径**: 电池温度 >50℃。 **常见场景**: 快充、边充边玩。 **排查路径**: 检查快充协议→电芯阻抗。 **对策**: 控制快充功率，提升散热。
耗电异常,功耗异常;Abnormal Power Drain,异常现象,软件相关;电池,**定义**: 待机/使用时电量消耗过快。 **判定口径**: 待机功耗 >200mW。 **常见场景**: APP后台运行。 **排查路径**: 分析耗电曲线→定位进程。 **对策**: 优化系统调度，限制异常应用。
过充,过度充电;Over Charging,异常现象,电池;安全相关,**定义**: 电池电压超过安全上限。 **判定口径**: 电压 >4.35V。 **常见场景**: 充电保护失效。 **排查路径**: 检查BMS→充电IC。 **对策**: 增加保护电路，提升电芯一致性。
过放,过度放电;Over Discharging,异常现象,电池;安全相关,**定义**: 电池电压低于安全下限。 **判定口径**: 电压 <3.0V。 **常见场景**: 长时间未充电。 **排查路径**: 检查电池保护板。 **对策**: 增加欠压保护，改善电量计校准。
电池膨胀,电芯膨胀;Cell Expansion,异常现象,电池;可靠性,**定义**: 电芯鼓胀导致结构异常。 **判定口径**: 厚度增加 >10%。 **常见场景**: 高温、寿命末期。 **排查路径**: 检查气胀情况。 **对策**: 优化电芯材料，增加气体吸收层。
屏幕碎裂,屏幕破裂;Screen Crack,异常现象,显示相关;结构相关,**定义**: 显示屏出现裂纹/碎裂。 **判定口径**: 裂纹可见。 **常见场景**: 跌落。 **排查路径**: 检查玻璃材质/结构。 **对策**: 使用康宁大猩猩玻璃，优化保护壳设计。
屏幕进灰,显示进灰;Dust Inside Screen,异常现象,显示相关;结构相关,**定义**: 屏幕层间进入异物。 **判定口径**: 黑屏下可见颗粒。 **常见场景**: 密封不良。 **排查路径**: 检查密封胶→结构间隙。 **对策**: 改善装配工艺，增加洁净度控制。
色偏,显示偏色;Color Shift,异常现象,显示相关;CMF,**定义**: 显示色彩与标准不符。 **判定口径**: ΔE >3。 **常见场景**: 屏幕老化。 **排查路径**: 检查色彩管理→面板一致性。 **对策**: 增加出厂校色，优化算法。
残影,烧屏;Image Retention,异常现象,显示相关;可靠性,**定义**: 静态画面残留。 **判定口径**: 静态图像切换后残留 >30s。 **常见场景**: OLED屏。 **排查路径**: 检查驱动算法→面板寿命。 **对策**: 优化像素刷新，增加均匀老化策略。
闪烁,屏闪;Flicker,异常现象,显示相关;影像相关,**定义**: 屏幕亮度快速变化。 **判定口径**: PWM频率 <240Hz。 **常见场景**: 低亮度使用。 **排查路径**: 检查驱动IC→调光方案。 **对策**: 提升PWM频率，采用DC调光。
模内取向效应,分子取向,异常现象,制造工艺;注塑;可靠性,注塑过程中高分子链沿流动方向排列，导致产品力学性能和热膨胀系数各向异性。
信号地弹,地噪声,异常现象,硬件相关;电气性能;设计,多个数字输出同时切换时，因封装电感引起地电位波动，影响输入电平判断。
模流纤维取向,纤维排向,异常现象,制造工艺;注塑;可靠性,增强纤维在注塑过程中沿流动方向取向，导致产品强度和热膨胀呈现方向性。
邦定cratering,弹坑效应,异常现象,可靠性;半导体;封装,键合过程中过大的超声波能量或压力导致芯片下方的硅材料产生裂纹或崩缺。
锡膏印刷偏移,印刷对位偏差,异常现象,制造工艺;SMT,锡膏印刷图形与PCB焊盘之间的位置偏差，需控制在允许范围内。
邦定Pad污染,焊盘污染,异常现象,可靠性;半导体;封装,芯片键合焊盘表面存在氧化物、有机物或离子污染，影响键合强度和可靠性。
腐蚀疲劳,环境疲劳,异常现象,可靠性;结构相关;硬件相关,材料在腐蚀性环境和交变应力共同作用下，疲劳寿命显著降低的现象。
模流残余应力,内应力,异常现象,制造工艺;注塑;可靠性,注塑件内部因不均匀冷却和分子取向被冻结而形成的应力，是翘曲和开裂的根源。
蠕变,徐变,异常现象,可靠性;结构相关;物料,材料在恒定应力下，应变随时间缓慢增加的现象，影响长期尺寸稳定性。
锡膏热坍塌,热塌陷,异常现象,SMT;制造工艺;可靠性,锡膏在回流焊预热阶段，因粘度下降过度而扩散到焊盘之外，可能导致桥连。
模流纤维断裂,纤维损伤,异常现象,制造工艺;注塑;可靠性,长纤维增强塑料在注塑过程中，纤维因强剪切力而断裂，降低增强效果。
胶体化学老化,化学降解,异常现象,物料;可靠性;点胶,胶粘剂因与环境中化学物质（如臭氧、UV）反应而性能劣化。
应力松弛,应力弛豫,异常现象,可靠性;结构相关;物料,材料在保持恒定应变的情况下，其内部应力随时间逐渐减小的现象。
模流热残渣,材料降解,异常现象,制造工艺;注塑;可靠性,塑料在料筒或喷嘴中长时间受热，发生分解产生黑点或焦化物。
胶体物理老化,物理老化,异常现象,物料;可靠性;点胶,非晶态聚合物在玻璃化转变温度以下，其体积和 enthalpy 向平衡状态缓慢松弛的过程，导致性能变化。
氢致开裂,氢脆,异常现象,可靠性;结构相关;硬件相关,金属材料因吸收氢原子而在应力作用下发生脆性断裂的现象。
信号地弹,地噪声,异常现象,硬件相关;电气性能;设计,多个数字输出同时切换时，因封装电感引起地电位波动，影响输入电平判断。
模流纤维取向,纤维排向,异常现象,制造工艺;注塑;可靠性,增强纤维在注塑过程中沿流动方向取向，导致产品强度和热膨胀呈现方向性。
邦定cratering,弹坑效应,异常现象,可靠性;半导体;封装,键合过程中过大的超声波能量或压力导致芯片下方的硅材料产生裂纹或崩缺。
锡膏印刷偏移,印刷对位偏差,异常现象,制造工艺;SMT,锡膏印刷图形与PCB焊盘之间的位置偏差，需控制在允许范围内。
邦定Pad污染,焊盘污染,异常现象,可靠性;半导体;封装,芯片键合焊盘表面存在氧化物、有机物或离子污染，影响键合强度和可靠性。
腐蚀疲劳,环境疲劳,异常现象,可靠性;结构相关;硬件相关,材料在腐蚀性环境和交变应力共同作用下，疲劳寿命显著降低的现象。
模流残余应力,内应力,异常现象,制造工艺;注塑;可靠性,注塑件内部因不均匀冷却和分子取向被冻结而形成的应力，是翘曲和开裂的根源。
蠕变,徐变,异常现象,可靠性;结构相关;物料,材料在恒定应力下，应变随时间缓慢增加的现象，影响长期尺寸稳定性。
锡膏热坍塌,热塌陷,异常现象,SMT;制造工艺;可靠性,锡膏在回流焊预热阶段，因粘度下降过度而扩散到焊盘之外，可能导致桥连。
模流纤维断裂,纤维损伤,异常现象,制造工艺;注塑;可靠性,长纤维增强塑料在注塑过程中，纤维因强剪切力而断裂，降低增强效果。
胶体化学老化,化学降解,异常现象,物料;可靠性;点胶,胶粘剂因与环境中化学物质（如臭氧、UV）反应而性能劣化。
应力松弛,应力弛豫,异常现象,可靠性;结构相关;物料,材料在保持恒定应变的情况下，其内部应力随时间逐渐减小的现象。
模流热残渣,材料降解,异常现象,制造工艺;注塑;可靠性,塑料在料筒或喷嘴中长时间受热，发生分解产生黑点或焦化物。
胶体物理老化,物理老化,异常现象,物料;可靠性;点胶,非晶态聚合物在玻璃化转变温度以下，其体积和enthalpy向平衡状态缓慢松弛的过程，导致性能变化。
氢致开裂,氢脆,异常现象,可靠性;结构相关;硬件相关,金属材料因吸收氢原子而在应力作用下发生脆性断裂的现象。
视频不同步,声画不同步;AV Sync Issue,异常现象,软件相关;影像相关,**定义**: 视频播放时声音和画面不同步。 **判定口径**: 延迟 >200ms。 **常见场景**: 在线播放、通话。 **排查路径**: 检查解码→缓冲机制。 **对策**: 优化同步算法，减少延迟。
录像掉帧,视频丢帧;Video Frame Drop,异常现象,影像相关;性能指标,**定义**: 录像过程中丢失帧。 **判定口径**: 丢帧率 >5%。 **常见场景**: 高分辨率录像。 **排查路径**: 检查存储写入速度→ISP负载。 **对策**: 提升存储性能，优化编码。
自拍过曝,前摄过曝;Selfie Overexposure,异常现象,影像相关;摄像头模组,**定义**: 前置摄像头拍照曝光过度。 **判定口径**: 过曝面积 >20%。 **常见场景**: 强光自拍。 **排查路径**: 检查AE算法→镜头参数。 **对策**: 优化HDR，增加曝光补偿。
夜拍拖影,暗光拖影;Night Smear,异常现象,影像相关;摄像头模组,**定义**: 暗光下拍照出现拖影。 **判定口径**: 拖影长度 >3px。 **常见场景**: 夜景拍照。 **排查路径**: 检查快门速度→OIS。 **对策**: 优化夜景算法，提升防抖性能。
电池续航不足,续航差;Poor Battery Life,异常现象,硬件相关;电池,**定义**: 电池使用时间明显不足。 **判定口径**: 实测续航低于标称 20%。 **常见场景**: 高功耗应用。 **排查路径**: 检查电池健康度→功耗分析。 **对策**: 优化系统功耗，改进电池容量。
电池过热,电池温度过高;Battery Overheat,异常现象,硬件相关;安全相关,**定义**: 电池在充电或使用时过热。 **判定口径**: 电池温度 >45℃。 **常见场景**: 快充、高负载。 **排查路径**: 检查充电IC→散热设计。 **对策**: 增加温控保护，改善散热。
无法充电,充电失败;Charging Fail,异常现象,硬件相关;充电,**定义**: 手机无法进入充电状态。 **判定口径**: 插入充电器无反应。 **常见场景**: 接口损坏。 **排查路径**: 检查尾插→充电IC。 **对策**: 提升接口强度，增加防尘设计。
无线充不稳,无线充电中断;Wireless Charging Unstable,异常现象,硬件相关;充电,**定义**: 无线充电过程中频繁中断。 **判定口径**: 中断率 >5%。 **常见场景**: 位置偏移。 **排查路径**: 检查线圈对准→EMC干扰。 **对策**: 优化线圈设计，改善异物检测。
快充不生效,快充失败;Fast Charging Fail,异常现象,硬件相关;充电,**定义**: 手机无法进入快充模式。 **判定口径**: 实测功率 <10W。 **常见场景**: 非匹配适配器。 **排查路径**: 检查协议→电路设计。 **对策**: 增强快充兼容性。
待机掉电快,待机耗电大;High Standby Power,异常现象,软件相关;电池,**定义**: 手机在待机时掉电快。 **判定口径**: 待机功耗 >1%/h。 **常见场景**: 应用后台异常。 **排查路径**: 检查系统进程→基带状态。 **对策**: 优化后台管控，降低常驻功耗。
电池鼓包,电池膨胀;Battery Swelling,异常现象,硬件相关;安全相关,**定义**: 电池外形鼓起。 **判定口径**: 厚度增加 >10%。 **常见场景**: 长期充电/老化。 **排查路径**: 检查循环次数→气体析出。 **对策**: 严格寿命管控，优化材料。
电量显示异常,电量不准;Inaccurate Battery Indicator,异常现象,软件相关;电池,**定义**: 电量显示与实际不符。 **判定口径**: 偏差 >10%。 **常见场景**: 电量跳变。 **排查路径**: 检查计量芯片→软件校准。 **对策**: 增加自学习算法，优化校准机制。
自动关机,无故关机;Unexpected Shutdown,异常现象,硬件相关;电池,**定义**: 手机电量充足时自动关机。 **判定口径**: 电量 >20% 突然关机。 **常见场景**: 电池老化/低温。 **排查路径**: 检查电池内阻→PMIC。 **对策**: 增加低温补偿，优化电源管理。
自动重启,意外重启;Auto Reboot,异常现象,软件相关;系统稳定性,**定义**: 手机非人为操作重启。 **判定口径**: 重启频率 >1 次/天。 **常见场景**: 系统升级、APP异常。 **排查路径**: 分析log→排查内存/电源。 **对策**: 优化系统稳定性，修复Bug。
应用闪退,APP崩溃;App Crash,异常现象,软件相关;用户体验,**定义**: 应用运行中意外关闭。 **判定口径**: 崩溃率 >1%。 **常见场景**: 高内存占用。 **排查路径**: 查看log→内存泄漏。 **对策**: 优化APP，完善异常捕获。
系统升级失败,OTA失败;OTA Fail,异常现象,软件相关;系统升级,**定义**: OTA升级无法完成。 **判定口径**: 升级失败率 >1%。 **常见场景**: 网络中断、存储不足。 **排查路径**: 检查下载包→存储空间。 **对策**: 增强断点续传，提示存储清理。
恶意重启,Bootloop;Reboot Loop,异常现象,软件相关;系统启动,**定义**: 系统不断重启。 **判定口径**: 启动失败 >3 次。 **常见场景**: 系统损坏、刷机失败。 **排查路径**: 检查启动镜像→硬件异常。 **对策**: 增加恢复模式，优化刷机校验。
网络不稳定,信号掉线;Network Unstable,异常现象,通信相关;可靠性,**定义**: 移动网络频繁中断。 **判定口径**: 掉线率 >3%。 **常见场景**: 弱信号。 **排查路径**: 检查基带→天线设计。 **对策**: 优化射频匹配，改进算法。
无法通话,语音通话失败;Call Fail,异常现象,通信相关;功能,**定义**: 无法接通语音通话。 **判定口径**: 呼叫失败率 >1%。 **常见场景**: 弱信号、运营商限制。 **排查路径**: 检查基带→网络配置。 **对策**: 增强兼容性，优化协议。
视频通话卡顿,视频聊天卡顿;Video Call Lag,异常现象,通信相关;用户体验,**定义**: 视频通话过程中画面卡顿。 **判定口径**: FPS <20。 **常见场景**: 网络弱。 **排查路径**: 检查带宽→视频编解码。 **对策**: 优化编解码，支持自适应码率。
漫游失败,网络漫游失败;Roaming Fail,异常现象,通信相关;功能,**定义**: 手机无法漫游。 **判定口径**: 漫游成功率 <95%。 **常见场景**: 出国、异网。 **排查路径**: 检查SIM配置→运营商策略。 **对策**: 增强兼容性，更新漫游表。
SIM不识别,SIM卡无效;SIM Not Detected,异常现象,硬件相关;通信相关,**定义**: 插入SIM卡无效。 **判定口径**: 检测失败率 >1%。 **常见场景**: 卡托松动、触点脏污。 **排查路径**: 检查SIM座→检测电路。 **对策**: 提升卡座强度，优化接触可靠性。
数据漫游异常,数据漫游失败;Data Roaming Fail,异常现象,通信相关;功能,**定义**: 数据漫游无法使用。 **判定口径**: 成功率 <95%。 **常见场景**: 国外网络。 **排查路径**: 检查基带配置→运营商兼容性。 **对策**: 增强测试覆盖，优化协议实现。
短信收发失败,SMS失败;SMS Fail,异常现象,通信相关;功能,**定义**: 短信发送或接收失败。 **判定口径**: 失败率 >1%。 **常见场景**: 弱信号、漫游。 **排查路径**: 检查基带→中心号码。 **对策**: 增强网络兼容性，提示用户检查配置。
彩信失败,MMS失败;MMS Fail,异常现象,通信相关;功能,**定义**: 彩信发送/接收失败。 **判定口径**: 成功率 <95%。 **常见场景**: 网络不稳定。 **排查路径**: 检查APN配置→运营商支持。 **对策**: 优化配置兼容性。
VoLTE异常,VoLTE不通;VoLTE Fail,异常现象,通信相关;功能,**定义**: VoLTE功能不可用。 **判定口径**: 呼叫成功率 <95%。 **常见场景**: 网络制式切换。 **排查路径**: 检查配置→基带协议。 **对策**: 优化协议栈，增强兼容性。
语音识别不准,语音识别错误;ASR Inaccuracy,异常现象,软件相关;人机交互,**定义**: 语音识别准确率低。 **判定口径**: 准确率 <90%。 **常见场景**: 方言、噪音环境。 **排查路径**: 检查算法→语料。 **对策**: 优化模型，增加噪声鲁棒性。
语音助手误触发,语音助手误唤醒;Voice Assistant False Trigger,异常现象,软件相关;人机交互,**定义**: 无操作时语音助手被误触发。 **判定口径**: 误触发率 >1%。 **常见场景**: 环境噪声。 **排查路径**: 检查麦克风阵列→关键词算法。 **对策**: 优化关键词模型，增加二次确认。
传感器漂移,传感器不准;Sensor Drift,异常现象,硬件相关;传感器,**定义**: 传感器数值随时间偏移。 **判定口径**: 偏差 >10%。 **常见场景**: 长时间运行。 **排查路径**: 检查校准机制→温度补偿。 **对策**: 增强校准，优化补偿算法。
距离感应失效,距离传感器异常;Proximity Fail,异常现象,硬件相关;传感器,**定义**: 通话时距离感应无效。 **判定口径**: 误判率 >5%。 **常见场景**: 贴膜遮挡。 **排查路径**: 检查传感器窗口→算法。 **对策**: 增加窗口透光率，优化算法。
陀螺仪异常,Gyro Fail,异常现象,硬件相关;传感器,**定义**: 陀螺仪无法正常工作。 **判定口径**: 偏差 >5°。 **常见场景**: 游戏、导航。 **排查路径**: 检查模组→校准。 **对策**: 优化算法，提升防震设计。
加速度异常,加速度计失效;Accelerometer Fail,异常现象,硬件相关;传感器,**定义**: 加速度计无法正确测量。 **判定口径**: 偏差 >10%。 **常见场景**: 翻转屏幕、计步。 **排查路径**: 检查焊点→校准。 **对策**: 增加自校准，提升可靠性。
磁力计不准,电子罗盘异常;Magnetometer Fail,异常现象,硬件相关;传感器,**定义**: 磁力计方向偏差大。 **判定口径**: 偏差 >15°。 **常见场景**: 地铁、金属环境。 **排查路径**: 检查磁屏蔽→算法。 **对策**: 优化补偿算法。
气压计失效,气压传感器异常;Barometer Fail,异常现象,硬件相关;传感器,**定义**: 气压值不正确。 **判定口径**: 偏差 >5hPa。 **常见场景**: 高度测量。 **排查路径**: 检查传感器→校准。 **对策**: 增加温度补偿，优化算法。
AQL,接收质量限;Acceptable Quality Level,工具,测试验证;质量体系,抽样检验的标准，用于来料或出货检验时判定批合格与否。
CABC,内容自适应背光控制;Content Adaptive Backlight Control,工具,影像相关;功耗优化,根据显示内容自动调节背光以节省功耗，算法不良会导致屏幕闪烁或亮度异常。
CCD视觉对位,相机对位;CCD Alignment,工具,摄像头模组;SMT,在贴片或模组组装中，使用工业相机进行高精度位置校准的工艺。
Corner Drop,角跌落,工具,可靠性;结构相关,手机特定角落着地的跌落测试，用于评估结构最脆弱点的强度。
CPK,过程能力指数;Process Capability Index,工具,制造工艺;质量体系,衡量生产过程稳定满足规格要求的能力，大于1.33表示过程能力良好。
DQA,设计质量保证;Design Quality Assurance,工具,流程相关;项目相关,在研发阶段介入，确保产品设计满足可靠性、可制造性等质量要求的角色。
Drop Test,跌落测试,工具,可靠性;结构相关,模拟手机意外跌落场景，验证整机结构强度、屏幕和电池等部件的可靠性。
DSU,动态软件更新;Dynamic System Updates,工具,项目相关;工具,Android项目在运行时切换系统镜像的技术，用于软件调试与测试。
ESD,静电放电;Electro-Static Discharge,工具,硬件相关;可靠性,测试手机抵御静电冲击的能力，不合格会导致芯片击穿或功能异常。
FACA,最终审核纠正措施;Final Audit Corrective Action,工具,质量体系;项目相关,在项目量产前，针对开箱审计发现的问题进行闭环管理的流程。
HALT,高加速寿命测试;Highly Accelerated Life Test,工具,可靠性;研发,通过施加高应力快速激发产品潜在缺陷的测试方法，用于设计阶段。
IQC,来料检验;Incoming Quality Control,工具,制造工艺;质量体系,对供应商送达的物料进行检验，确保投入生产的物料符合标准。
MTBF,平均无故障时间;Mean Time Between Failures,工具,可靠性;性能指标,衡量产品可靠性的关键预测指标，通常通过可靠性试验数据计算得出。
PMP,项目管理计划;Project Management Plan,工具,流程相关;组织职责,项目开展的总体指导文件，包含范围、进度、质量、风险等管理计划。
PVT,生产验证测试;Production Validation Test,工具,测试验证;制造工艺,在量产初期进行的测试，验证生产线能否稳定地生产出合格产品。
SMT,表面贴装技术;Surface Mount Technology,工具,硬件相关;PCB,将电子元器件贴装到PCB上的核心工艺，涉及锡膏印刷、贴片、回流焊。
UV胶,紫外线固化胶;Ultraviolet Glue,工具,结构相关;粘合剂,用于固定镜头、装饰件等，固化不良会导致脱落或溢胶。
Vendor,供应商;Supplier,工具,流程相关;项目相关,提供手机零部件或服务的厂商，其质量能力直接影响整机质量。
点胶,打胶;Underfill,工具,结构相关;工艺参数,在芯片底部填充胶水以增强机械强度和耐热性，胶量、路径是关键参数。
点屏,屏幕点亮;Screen Lighting,工具,制造工艺;显示相关,在组装过程中对显示屏进行通电，初步检查显示功能是否正常。
点压,按压测试;Press Test,工具,人机交互;可靠性,对手机按键、屏幕等进行反复按压，测试其机械耐久性。
钝化,钝化层;Passivation,工具,硬件相关;PCB,在芯片或PCB表面形成保护层，防止腐蚀和短路，损伤会导致可靠性问题。
多标签,标签;Tag,工具,项目相关;软件相关,用于对问题、物料或知识进行分类和标记的元数据，便于筛选和管理。
防呆,防错;Poka-Yoke,工具,质量体系;工具,设计一种装置或方法，防止操作员出现错误，是提升直通率的关键。
分板,板边切割;Board Cutting,工具,PCB;工艺参数,将拼板后的PCB分割成单板，方式不当会导致板边毛刺、裂纹或应力损伤。
风枪,热风枪;Hot Air Gun,工具,维修;SMT,用于维修时加热焊料或拆焊元件的工具，温度和控制精度是关键。
工装,夹具;治具;Fixture,工具,制造工艺;测试验证,在生产或测试中用于定位和固定产品的装置，其精度直接影响产品一致性。
固件,Firmware,工具,部件;功能,写入硬件设备的底层软件，如摄像头固件，版本错误或损坏会导致功能异常。
挂机,待机;Standby,工具,软件相关;可靠性,手机在休眠状态下长时间运行，用于测试待机功耗和系统稳定性。
过炉,回流焊;Reflow Soldering,工具,SMT;工艺参数,SMT关键工序，通过加热使锡膏熔化连接元件，温度曲线设置至关重要。
焊锡,锡膏;Solder Paste,工具,物料;SMT,用于焊接的合金材料，其成分、颗粒度和活性影响焊接质量。
合盖,闭合状态;Closed State,工具,结构相关;可靠性,针对折叠屏手机，测试在闭合状态下的机构稳定性、缝隙和压力。
烘烤,低温烘烤;Baking,工具,PCB;工艺参数,对受潮的PCB或元件进行烘干，去除湿气，防止回流焊时出现爆米花现象。
红胶,红色胶水;Red Adhesive,工具,物料;SMT,一种用于波峰焊前暂时固定元件的胶水，点胶量和固化程度是关键。
环测,环境测试;Environmental Test,工具,可靠性,将手机置于高低温、湿热、振动等模拟环境中，验证其适应能力。
灰阶,灰度等级;Gray Scale,部件,性能指标;影像相关,表示屏幕从黑到白的亮度层次，层次越多，显示效果越细腻。
回流焊,再流焊;Reflow,工具,SMT;工艺参数,通过加热使预涂的锡膏熔化，实现元器件与PCB焊盘连接的工艺。
激活,电池激活;Battery Activation,工具,硬件相关;工艺参数,新电池首次充电的特定流程，以稳定其化学性能，但现在多数锂电已不需要。
机模,手机模型;Dummy Model,工具,项目相关;结构相关,无功能的手机外观模型，用于早期结构验证、外观评估和营销展示。
激光,激光焊接;Laser Welding,工具,工艺参数;结构相关,使用激光能量进行精密焊接，常用于电池盖、内部结构件，热影响区小。
夹持,夹具夹紧;Clamping,工具,工艺参数;工装,治具对产品的固定力，过小导致位移，过大可能导致产品变形或压伤。
检具,检验治具;Checking Fixture,工具,测试验证;质量体系,专门用于快速检测产品尺寸或装配效果的工装，提升检验效率和一致性。
胶厚,胶水厚度;Adhesive Thickness,工具,工艺参数;结构相关,点胶或贴合的胶层厚度，影响粘接强度和密封性能。
胶量,点胶量;Dispensing Volume,工具,工艺参数,点胶机每次挤出的胶水体积，是影响粘接效果的关键参数。
