term,aliases,category,tags,note,source,version
假电,虚电;False Power,Symptom,硬件相关;软件相关,手机显示电量充足但迅速关机，通常与电池老化、电量计校准不准有关。,dictionary_v1,2025-09-28
假压,False Pressure;虚压,Symptom,制造工艺;结构相关,螺丝未真正拧紧或扭矩失效，导致连接松动，存在可靠性风险。,dictionary_v1,2025-09-28
胶印,Adhesive Mark;胶水痕迹,Symptom,制造工艺;外观,胶水溢出或擦拭不净，在产品表面留下可见的痕迹。,dictionary_v1,2025-09-28
焦灼,Burn Mark;烧焦,Symptom,可靠性;硬件相关,局部过热导致塑料或PCB碳化变黑，通常为严重故障的表现。,dictionary_v1,2025-09-28
接触不良,Intermittent Contact;接触不稳定,Symptom,电气连接;硬件相关,连接器、开关等因氧化、松动或污染导致时通时断的现象。,dictionary_v1,2025-09-28
结块,胶水结块;Adhesive Lumping,Symptom,制造工艺;物料,胶水在储存或使用前发生部分固化，形成颗粒，影响点胶效果。,dictionary_v1,2025-09-28
卡顿,Lag;操作不流畅,Symptom,性能指标;软件相关,系统或应用响应缓慢，界面动画掉帧，严重影响用户体验。,dictionary_v1,2025-09-28
开胶,脱胶;De-lamination,Symptom,制造工艺;结构相关,粘接的部件之间出现分离，如屏幕开胶、电池盖开胶。,dictionary_v1,2025-09-28
开裂,Crack;破裂,Symptom,可靠性;结构相关,材料或部件出现裂缝，通常由应力过大、材料脆性或冲击导致。,dictionary_v1,2025-09-28
开短路,Open/Short Circuit;开路与短路,Symptom,电气连接;硬件相关,电路两种基本故障模式：开路（断开）和短路（异常连接）。,dictionary_v1,2025-09-28
空焊,未上锡;Non-wetting,Symptom,SMT;制造工艺,元器件引脚或焊盘没有与焊锡形成良好的冶金结合。,dictionary_v1,2025-09-28
孔偏,钻孔偏移;Drilling Offset,Symptom,PCB;制造工艺,PCB上的钻孔位置偏离设计中心，可能导致电气连接不良或短路。,dictionary_v1,2025-09-28
口哨声,啸叫;Whistling Noise,Symptom,声学;硬件相关,电感、变压器等磁性元件在特定频率下振动产生的噪音。,dictionary_v1,2025-09-28
溃缩,压溃变形;Crushing Deformation,Symptom,可靠性;结构相关,材料或结构在压力下发生永久性的压缩变形，失去原有功能。,dictionary_v1,2025-09-28
拉丝,Stringing;材料拉丝,Symptom,制造工艺;外观,在点胶或塑料注塑过程中，材料被拉扯成丝状残留物。,dictionary_v1,2025-09-28
乐音,异音;Abnormal Sound,Symptom,声学;硬件相关,电机、齿轮等运动部件发出的非预期的、不悦耳的噪音。,dictionary_v1,2025-09-28
连锡,锡桥;Solder Bridge,Symptom,SMT;制造工艺,焊锡在相邻的两个焊点之间形成非预期的连接，导致短路。,dictionary_v1,2025-09-28
亮斑,亮点;Bright Spot,Symptom,显示相关,显示屏上常亮的像素点或区域，属于显示缺陷。,dictionary_v1,2025-09-28
亮线,亮线缺陷;Line Defect,Symptom,显示相关,显示屏上出现的异常亮线，通常与驱动线路或屏幕本身损伤有关。,dictionary_v1,2025-09-28
裂纹,Crack;裂痕,Symptom,可靠性;结构相关,材料局部开裂形成的缝隙，可能由应力、疲劳或缺陷引起。,dictionary_v1,2025-09-28
漏光,Light Leakage;光泄漏,Symptom,异常现象;显示相关;硬件相关,屏幕边框处有非预期的光线射出，影响视觉效果和产品档次感。,dictionary_v1,2025-09-28
漏液,电池漏液;Liquid Leakage,Symptom,安全相关;硬件相关,电池电解液泄漏，具有腐蚀性且可能引发安全问题，是严重不良。,dictionary_v1,2025-09-28
漏码,Missing Laser Marking;激光漏打,Symptom,制造工艺;外观,产品上应有的序列号、Logo等信息未被激光打标或打标不清。,dictionary_v1,2025-09-28
漏贴,Missing Component;元件漏贴,Symptom,SMT;制造工艺,贴片机未能将元器件贴装到PCB指定位置上。,dictionary_v1,2025-09-28
露白,底色显露;Substrate Exposure,Symptom,CMF;外观,喷涂或镀层厚度不足或不均匀，导致底层材料颜色显露出来。,dictionary_v1,2025-09-28
露铜,Copper Exposure;铜层暴露,Symptom,PCB;可靠性,PCB表面的阻焊层破损，导致底层铜箔暴露，易氧化和短路。,dictionary_v1,2025-09-28
乱码,显示乱码;Garbled Characters,Symptom,显示相关;软件相关,屏幕显示的文字或符号变成无法识别的代码，可能与软件或内存有关。,dictionary_v1,2025-09-28
麻点,Pitting;表面凹点,Symptom,制造工艺;外观,产品表面出现的细小凹坑，可能与注塑、喷涂或电镀工艺有关。,dictionary_v1,2025-09-28
毛边,毛刺;Burr,Symptom,制造工艺;外观,金属或塑料件加工后边缘留下的多余材料，影响装配和安全。,dictionary_v1,2025-09-28
毛絮,纤维粉尘;Lint,Symptom,制造工艺;外观,环境中或擦拭布上的纤维绒毛附着在产品表面，影响清洁度。,dictionary_v1,2025-09-28
霉斑,Mildew;发霉,Symptom,可靠性;外观,在高温高湿环境下，有机物表面生长的霉菌斑点。,dictionary_v1,2025-09-28
米粒,Solder Ball;锡珠,Symptom,SMT;制造工艺,回流焊后散布在PCB上的微小锡球，可能引起短路。,dictionary_v1,2025-09-28
模垢,模具污垢;Mold Contamination,Symptom,制造工艺;外观,模具表面的残留物转移到产品上，导致注塑件表面缺陷。,dictionary_v1,2025-09-28
模痕,Parting Line;合模线,Symptom,外观;结构相关,注塑件在模具分型面处产生的轻微痕迹，工艺控制可减轻其明显度。,dictionary_v1,2025-09-28
难拆,Difficult Disassembly;拆卸困难,Symptom,结构相关;维修,产品设计或组装导致维修时难以拆卸，影响可维修性。,dictionary_v1,2025-09-28
尿印,Water Spot;水渍痕,Symptom,制造工艺;外观,清洗或擦拭后留下的水渍或清洗剂痕迹，干燥后形成印迹。,dictionary_v1,2025-09-28
凝露,Condensation;冷凝水,Symptom,可靠性;测试验证,当环境温度骤变，手机内部较冷的表面凝结出水珠，可能导致短路。,dictionary_v1,2025-09-28
抛料,Component Rejection;元件抛料,Symptom,SMT;制造工艺,贴片机识别元件不合格或取料失败后将其丢弃，影响效率和成本。,dictionary_v1,2025-09-28
批锋,Flash;毛边,Symptom,制造工艺;外观,注塑件在模具分型面或顶针处产生的薄边多余料。,dictionary_v1,2025-09-28
偏位,Misalignment;位置偏移,Symptom,SMT;制造工艺,元器件贴装位置偏离焊盘中心，可能引起虚焊或短路。,dictionary_v1,2025-09-28
漂移,Parameter Drift;参数漂移,Symptom,可靠性;硬件相关,元器件参数（如电阻值、时钟频率）随时间或温度发生缓慢变化。,dictionary_v1,2025-09-28
气泡,气泡缺陷;Air Bubble,Symptom,制造工艺;外观,在胶合、贴合或注塑过程中，内部或层间残留的空气泡。,dictionary_v1,2025-09-28
翘曲,Warpage;变形,Symptom,可靠性;结构相关,平板状部件（如PCB、电池盖）发生的弯曲或扭曲变形。,dictionary_v1,2025-09-28
翘脚,Lifted Lead;引脚翘起,Symptom,SMT;制造工艺,元器件引脚未与焊盘接触而翘起，导致开路。,dictionary_v1,2025-09-28
缺胶,胶量不足;Insufficient Adhesive,Symptom,制造工艺;结构相关,点胶量未达到要求，导致粘接强度或密封性能不足。,dictionary_v1,2025-09-28
缺口,边缘缺口;Notch,Symptom,外观;结构相关,材料边缘因磕碰或加工不良形成的V形或U形缺损。,dictionary_v1,2025-09-28
热损,Thermal Damage;热损伤,Symptom,可靠性;硬件相关,元器件因过热导致的不可逆性能劣化或损坏。,dictionary_v1,2025-09-28
熔损,过熔;Solder Melting Loss,Symptom,SMT;制造工艺,过高的温度或过长的加热时间导致焊锡过度流失，焊点不饱满。,dictionary_v1,2025-09-28
色差,颜色差异;Color Difference,Symptom,CMF;外观;异常现象,同一部件不同批次或同一手机不同部件之间存在肉眼可察觉的颜色不一致,dictionary_v1,2025-09-28
沙眼,Pinhole;针孔,Symptom,制造工艺;外观,涂层或镀层表面出现的极其细微的孔洞，如同针尖扎过。,dictionary_v1,2025-09-28
闪退,应用崩溃;App Crash,Symptom,软件相关,应用程序在运行过程中突然关闭并返回主界面。,dictionary_v1,2025-09-28
伤盘,Pad Damage;焊盘损伤,Symptom,PCB;维修,PCB焊盘因过度加热、刮擦或多次焊接而脱落或损坏。,dictionary_v1,2025-09-28
失效,功能失效;Failure,Symptom,可靠性,产品失去规定功能的状态。,dictionary_v1,2025-09-28
油污,Oil Stain;油渍,Symptom,制造工艺;外观,产品表面沾染的油脂污渍。,dictionary_v1,2025-09-28
鱼眼,透镜状缺陷;Fish Eye,Symptom,外观;涂层,涂层表面出现的类似鱼眼的圆形凹坑或凸起。,dictionary_v1,2025-09-28
云纹,摩尔纹;Moiré Pattern,Symptom,影像相关,当两个周期性图案（如感光元件像素和景物纹理）重叠时产生的干扰条纹。,dictionary_v1,2025-09-28
脏污,同污点,Symptom,制造工艺;外观,产品表面附着的油污、灰尘等异物。,dictionary_v1,2025-09-28
噪点,图像噪点;Image Noise,Symptom,影像相关,图像中出现的随机颗粒状干扰，在低光照下尤为明显。,dictionary_v1,2025-09-28
自愈,自恢复;Self-recovery,Symptom,可靠性;软件相关,系统发生轻微故障后，能自动恢复正常功能的现象。,dictionary_v1,2025-09-28
醉机,系统错乱;System Confusion,Symptom,软件相关,系统行为异常，功能紊乱，但尚未死机或重启，通常需重启恢复。,dictionary_v1,2025-09-28
对焦失败,Focus Fail;无法对焦,Symptom,影像相关;摄像头模组,**定义**: 摄像头无法正确锁定焦点。 **判定口径**: AF成功率 <95%。 **常见场景**: 暗光/微距/移动拍摄。 **排查路径**: 检查固件→电机→镜头洁净度。 **对策**: 增加AF日志采集，改善模组洁净管控。,dictionary_v1,2025-09-28
死机,系统死机;Hang,Symptom,硬件相关;软件相关,**定义**: 系统停止响应。 **判定口径**: 连续无响应 >30s。 **常见场景**: 高并发任务/内存不足。 **排查路径**: 抓取log→检查内存/CPU占用。 **对策**: 优化系统调度，增加watchdog。,dictionary_v1,2025-09-28
电流过大,Over Current,Symptom,电气性能;硬件相关,**定义**: 工作电流超过额定值。 **判定口径**: 电流 >1.5×额定。 **常见场景**: 充电、射频发射。 **排查路径**: 检查供电→替换IC。 **对策**: 增加过流保护，优化电源管理。,dictionary_v1,2025-09-28
短路,Short Circuit,Symptom,异常现象;电气性能;电气连接;硬件相关,**定义**: 电路异常导通。 **判定口径**: 电阻 <1Ω。 **常见场景**: PCBA调试。 **排查路径**: 热像定位→逐级隔离。 **对策**: 增加保护设计，加强制程防呆。,dictionary_v1,2025-09-28
松脱,松动;Loose,Symptom,可靠性;结构相关,**定义**: 螺丝/卡扣失去紧固力。 **判定口径**: 力矩 <70% 标准。 **常见场景**: 跌落/运输。 **排查路径**: 检查扭矩记录。 **对策**: 增加锁附监控，改善螺丝工艺。,dictionary_v1,2025-09-28
虚焊,Cold Solder;Cold Solder Joint;假焊;冷焊,Symptom,SMT;制造工艺;可靠性;异常现象;焊接质量,**定义**: 焊点不牢固。 **判定口径**: X-Ray 显示空洞 >20%。 **常见场景**: PCBA生产。 **排查路径**: 检查焊膏→回流工艺。 **对策**: 增强锡膏管理，优化工艺窗口。,dictionary_v1,2025-09-28
噪音,Noise;杂音,Symptom,声学;硬件相关,**定义**: 通话/播放时出现异常声音。 **判定口径**: SNR <20dB。 **常见场景**: 通话/音频播放。 **排查路径**: 检查麦克风→音频IC。 **对策**: 优化声学设计，改善防尘网。,dictionary_v1,2025-09-28
亮度不均,屏幕亮度不均;Brightness Uneven,Symptom,影像相关;显示相关,**定义**: 屏幕不同区域亮度差异。 **判定口径**: ΔL/L >20%。 **常见场景**: 灰阶测试。 **排查路径**: 检查背光模组。 **对策**: 改善背光均匀性设计。,dictionary_v1,2025-09-28
锌合金模垢,锌合金模具沉积物,Symptom,制造工艺;外观,锌合金压铸时，合金元素在模具表面析出形成的污垢，影响铸件表面质量。,dictionary_v1,2025-09-28
爬行腐蚀,creep corrosion;Creep Corrosion,Symptom,PCB;可靠性;硬件相关,在含硫气氛中，银等金属表面生成导电性硫化物绒毛，并在电场下延伸生长，导致短路。,dictionary_v1,2025-09-28
爆米花效应,popcorning,Symptom,SMT;可靠性;封装,受潮的IC封装在回流焊高温下，内部水分急速汽化导致封装材料开裂。,dictionary_v1,2025-09-28
锡须,Tin Whisker;锡晶须,Symptom,PCB;可靠性;硬件相关,纯锡镀层表面自发生长的细长锡晶须，可能引起短路。高铅或合金镀层可抑制。,dictionary_v1,2025-09-28
冷焊点,Cold Solder Joint,Symptom,SMT;制造工艺;可靠性,焊点温度不足，焊料未完全熔化，表面粗糙呈灰暗色，连接强度极差。,dictionary_v1,2025-09-28
银迁移,银离子迁移;Silver Migration,Symptom,PCB;可靠性;硬件相关,在直流电场和湿度作用下，银离子在绝缘体表面迁移析出，导致绝缘下降和短路。,dictionary_v1,2025-09-28
电化学迁移,ECM,Symptom,PCB;可靠性;硬件相关,详见前表电糊。,dictionary_v1,2025-09-28
缩水痕,Sink Mark,Symptom,制造工艺;外观;注塑,塑胶件在肉厚较大区域因冷却收缩不均而产生的表面凹陷。,dictionary_v1,2025-09-28
焊料球,Solder Ball,Symptom,SMT;制造工艺;可靠性,回流焊后，在焊盘周围或器件底部形成的独立小球，是焊接不良的一种。,dictionary_v1,2025-09-28
彩虹纹,,Symptom,外观;摄像头模组;显示相关,两层透明材料因微小间隙产生光干涉形成的彩色环状条纹。,dictionary_v1,2025-09-28
引脚浮高,Lead Lifting,Symptom,SMT;制造工艺;可靠性,元件引脚未与焊盘接触而翘起，通常发生在维修或应力冲击后。,dictionary_v1,2025-09-28
晶振频偏,Crystal Frequency Deviation,Symptom,可靠性;异常现象;硬件相关;通信相关,晶体振荡器的实际输出频率偏离其标称频率超出允许范围。,dictionary_v1,2025-09-28
助焊剂残留,Flux Residue,Symptom,SMT;制造工艺;可靠性,焊接后残留的助焊剂，若具腐蚀性或影响绝缘，需清洗或使用免清洗型。,dictionary_v1,2025-09-28
焊点疲劳,Solder Joint Fatigue,Symptom,SMT;可靠性;硬件相关,焊点在温度循环或机械应力下，因热膨胀系数不匹配而产生的裂纹和失效。,dictionary_v1,2025-09-28
模内应力,Molded-in Stress,Symptom,制造工艺;可靠性;注塑,塑胶件在注塑成型过程中产生的内应力，是后续变形和开裂的根源。,dictionary_v1,2025-09-28
锡瘟,Tin Pest,Symptom,可靠性;物料;硬件相关,纯锡在低温下（<13.2°C）由白锡（β锡）转变为灰锡（α锡）的相变，伴随体积膨胀和粉末化。,dictionary_v1,2025-09-28
板翘,Board Warpage,Symptom,PCB;制造工艺;可靠性,PCB本身的翘曲。,dictionary_v1,2025-09-28
电迁移,EM;Electromigration,Symptom,半导体;可靠性;硬件相关,集成电路金属互连线中，在高电流密度下金属原子沿电子流方向迁移，导致导线开路或短路。,dictionary_v1,2025-09-28
锡珠飞溅,Solder Ball Splashing,Symptom,SMT;制造工艺;可靠性,回流焊时，因预热不足或助焊剂沸腾导致锡膏中的锡珠飞散到焊盘外。,dictionary_v1,2025-09-28
板边毛刺,Board Edge Burr,Symptom,PCB;制造工艺;外观,PCB分板后边缘产生的突出物。,dictionary_v1,2025-09-28
触控失灵,触摸屏无响应;Touch Failure;Touch Fail,Symptom,人机交互;异常现象;显示相关,**定义**: 触摸操作无效或延迟。 **判定口径**: 单点/多点触控测试失败。 **常见场景**: 高湿环境、屏幕贴膜。 **排查路径**: 检查TP模组→固件→驱动IC。 **对策**: 优化算法，改善屏幕贴合。,dictionary_v1,2025-09-28
信号弱,Weak Signal;Low Signal;信号差,Symptom,射频相关;异常现象;用户体验;通信相关,**定义**: 手机在正常网络环境下信号强度不足。 **判定口径**: RSRP < -110dBm。 **常见场景**: 地铁、地下室。 **排查路径**: 检查天线设计→射频通道。 **对策**: 优化天线布局，增加功放。,dictionary_v1,2025-09-28
通话掉线,Call Drop,Symptom,射频相关;异常现象;用户体验;通信相关,**定义**: 通话过程中意外中断。 **判定口径**: 掉话率 >2%。 **常见场景**: 移动场景、弱覆盖。 **排查路径**: 抓取log→检查协议栈→网络条件。 **对策**: 优化射频功率控制，改善切换策略。,dictionary_v1,2025-09-28
充电慢,慢充;Slow Charging,Symptom,电池;硬件相关,**定义**: 充电速率低于设计值。 **判定口径**: 充电电流 < 额定值 70%。 **常见场景**: 使用非原装充电器。 **排查路径**: 检查充电IC→协议识别。 **对策**: 增加兼容性测试，优化协议栈。,dictionary_v1,2025-09-28
充不进电,无法充电;Not Charging,Symptom,电池;硬件相关,**定义**: 手机接入电源无法充电。 **判定口径**: 电池电量无上升。 **常见场景**: 接口损坏、过放保护。 **排查路径**: 检查充电口→电池保护板。 **对策**: 增强接口防护，优化BMS策略。,dictionary_v1,2025-09-28
电池发热,Battery Heating;充电发烫,Symptom,安全相关;电池,**定义**: 电池温度异常升高。 **判定口径**: 电池温度 >50℃。 **常见场景**: 快充、边充边玩。 **排查路径**: 检查快充协议→电芯阻抗。 **对策**: 控制快充功率，提升散热。,dictionary_v1,2025-09-28
耗电异常,Abnormal Power Drain;功耗异常,Symptom,电池;软件相关,**定义**: 待机/使用时电量消耗过快。 **判定口径**: 待机功耗 >200mW。 **常见场景**: APP后台运行。 **排查路径**: 分析耗电曲线→定位进程。 **对策**: 优化系统调度，限制异常应用。,dictionary_v1,2025-09-28
过充,Over Charging;过度充电,Symptom,安全相关;电池,**定义**: 电池电压超过安全上限。 **判定口径**: 电压 >4.35V。 **常见场景**: 充电保护失效。 **排查路径**: 检查BMS→充电IC。 **对策**: 增加保护电路，提升电芯一致性。,dictionary_v1,2025-09-28
过放,Over Discharging;过度放电,Symptom,安全相关;电池,**定义**: 电池电压低于安全下限。 **判定口径**: 电压 <3.0V。 **常见场景**: 长时间未充电。 **排查路径**: 检查电池保护板。 **对策**: 增加欠压保护，改善电量计校准。,dictionary_v1,2025-09-28
电池膨胀,Cell Expansion;电芯膨胀,Symptom,可靠性;电池,**定义**: 电芯鼓胀导致结构异常。 **判定口径**: 厚度增加 >10%。 **常见场景**: 高温、寿命末期。 **排查路径**: 检查气胀情况。 **对策**: 优化电芯材料，增加气体吸收层。,dictionary_v1,2025-09-28
屏幕碎裂,屏幕破裂;Screen Crack,Symptom,显示相关;结构相关,**定义**: 显示屏出现裂纹/碎裂。 **判定口径**: 裂纹可见。 **常见场景**: 跌落。 **排查路径**: 检查玻璃材质/结构。 **对策**: 使用康宁大猩猩玻璃，优化保护壳设计。,dictionary_v1,2025-09-28
屏幕进灰,显示进灰;Dust Inside Screen,Symptom,显示相关;结构相关,**定义**: 屏幕层间进入异物。 **判定口径**: 黑屏下可见颗粒。 **常见场景**: 密封不良。 **排查路径**: 检查密封胶→结构间隙。 **对策**: 改善装配工艺，增加洁净度控制。,dictionary_v1,2025-09-28
色偏,显示偏色;Color Shift,Symptom,CMF;显示相关,**定义**: 显示色彩与标准不符。 **判定口径**: ΔE >3。 **常见场景**: 屏幕老化。 **排查路径**: 检查色彩管理→面板一致性。 **对策**: 增加出厂校色，优化算法。,dictionary_v1,2025-09-28
残影,Image Retention;烧屏,Symptom,可靠性;显示相关,**定义**: 静态画面残留。 **判定口径**: 静态图像切换后残留 >30s。 **常见场景**: OLED屏。 **排查路径**: 检查驱动算法→面板寿命。 **对策**: 优化像素刷新，增加均匀老化策略。,dictionary_v1,2025-09-28
闪烁,屏闪;Flicker,Symptom,异常现象;影像相关;显示相关;软件相关,**定义**: 屏幕亮度快速变化。 **判定口径**: PWM频率 <240Hz。 **常见场景**: 低亮度使用。 **排查路径**: 检查驱动IC→调光方案。 **对策**: 提升PWM频率，采用DC调光。,dictionary_v1,2025-09-28
模内取向效应,分子取向,Symptom,制造工艺;可靠性;注塑,注塑过程中高分子链沿流动方向排列，导致产品力学性能和热膨胀系数各向异性。,dictionary_v1,2025-09-28
信号地弹,地噪声,Symptom,电气性能;硬件相关;设计,多个数字输出同时切换时，因封装电感引起地电位波动，影响输入电平判断。,dictionary_v1,2025-09-28
模流纤维取向,纤维排向,Symptom,制造工艺;可靠性;注塑,增强纤维在注塑过程中沿流动方向取向，导致产品强度和热膨胀呈现方向性。,dictionary_v1,2025-09-28
邦定cratering,弹坑效应,Symptom,半导体;可靠性;封装,键合过程中过大的超声波能量或压力导致芯片下方的硅材料产生裂纹或崩缺。,dictionary_v1,2025-09-28
锡膏印刷偏移,印刷对位偏差,Symptom,SMT;制造工艺,锡膏印刷图形与PCB焊盘之间的位置偏差，需控制在允许范围内。,dictionary_v1,2025-09-28
邦定Pad污染,焊盘污染,Symptom,半导体;可靠性;封装,芯片键合焊盘表面存在氧化物、有机物或离子污染，影响键合强度和可靠性。,dictionary_v1,2025-09-28
腐蚀疲劳,环境疲劳,Symptom,可靠性;硬件相关;结构相关,材料在腐蚀性环境和交变应力共同作用下，疲劳寿命显著降低的现象。,dictionary_v1,2025-09-28
模流残余应力,内应力,Symptom,制造工艺;可靠性;注塑,注塑件内部因不均匀冷却和分子取向被冻结而形成的应力，是翘曲和开裂的根源。,dictionary_v1,2025-09-28
蠕变,徐变,Symptom,可靠性;物料;结构相关,材料在恒定应力下，应变随时间缓慢增加的现象，影响长期尺寸稳定性。,dictionary_v1,2025-09-28
锡膏热坍塌,热塌陷,Symptom,SMT;制造工艺;可靠性,锡膏在回流焊预热阶段，因粘度下降过度而扩散到焊盘之外，可能导致桥连。,dictionary_v1,2025-09-28
模流纤维断裂,纤维损伤,Symptom,制造工艺;可靠性;注塑,长纤维增强塑料在注塑过程中，纤维因强剪切力而断裂，降低增强效果。,dictionary_v1,2025-09-28
胶体化学老化,化学降解,Symptom,可靠性;点胶;物料,胶粘剂因与环境中化学物质（如臭氧、UV）反应而性能劣化。,dictionary_v1,2025-09-28
应力松弛,应力弛豫,Symptom,可靠性;物料;结构相关,材料在保持恒定应变的情况下，其内部应力随时间逐渐减小的现象。,dictionary_v1,2025-09-28
模流热残渣,材料降解,Symptom,制造工艺;可靠性;注塑,塑料在料筒或喷嘴中长时间受热，发生分解产生黑点或焦化物。,dictionary_v1,2025-09-28
胶体物理老化,物理老化,Symptom,可靠性;点胶;物料,非晶态聚合物在玻璃化转变温度以下，其体积和 enthalpy 向平衡状态缓慢松弛的过程，导致性能变化。,dictionary_v1,2025-09-28
氢致开裂,氢脆,Symptom,可靠性;硬件相关;结构相关,金属材料因吸收氢原子而在应力作用下发生脆性断裂的现象。,dictionary_v1,2025-09-28
视频不同步,声画不同步;AV Sync Issue,Symptom,影像相关;软件相关,**定义**: 视频播放时声音和画面不同步。 **判定口径**: 延迟 >200ms。 **常见场景**: 在线播放、通话。 **排查路径**: 检查解码→缓冲机制。 **对策**: 优化同步算法，减少延迟。,dictionary_v1,2025-09-28
录像掉帧,Video Frame Drop;视频丢帧,Symptom,影像相关;性能指标,**定义**: 录像过程中丢失帧。 **判定口径**: 丢帧率 >5%。 **常见场景**: 高分辨率录像。 **排查路径**: 检查存储写入速度→ISP负载。 **对策**: 提升存储性能，优化编码。,dictionary_v1,2025-09-28
自拍过曝,Selfie Overexposure;前摄过曝,Symptom,影像相关;摄像头模组,**定义**: 前置摄像头拍照曝光过度。 **判定口径**: 过曝面积 >20%。 **常见场景**: 强光自拍。 **排查路径**: 检查AE算法→镜头参数。 **对策**: 优化HDR，增加曝光补偿。,dictionary_v1,2025-09-28
夜拍拖影,Night Smear;暗光拖影,Symptom,影像相关;摄像头模组,**定义**: 暗光下拍照出现拖影。 **判定口径**: 拖影长度 >3px。 **常见场景**: 夜景拍照。 **排查路径**: 检查快门速度→OIS。 **对策**: 优化夜景算法，提升防抖性能。,dictionary_v1,2025-09-28
电池续航不足,Poor Battery Life;续航差,Metric,电池;硬件相关,**定义**: 单次充电使用时长不足。 **判定口径**: 使用时长低于标称值 20%。 **常见场景**: 高功耗应用。 **排查路径**: 功耗分析→检查电芯容量。 **对策**: 优化系统调度，提升电池能量密度。,dictionary_v1,2025-09-28
电池过热,电池温度过高;Battery Overheat,Symptom,安全相关;硬件相关,**定义**: 电池在充电或使用时过热。 **判定口径**: 电池温度 >45℃。 **常见场景**: 快充、高负载。 **排查路径**: 检查充电IC→散热设计。 **对策**: 增加温控保护，改善散热。,dictionary_v1,2025-09-28
无法充电,Failure to Charge;充电失败;Charging Fail,Symptom,充电;异常现象;硬件相关,**定义**: 手机无法进入充电状态。 **判定口径**: 插入充电器无反应。 **常见场景**: 接口损坏。 **排查路径**: 检查尾插→充电IC。 **对策**: 提升接口强度，增加防尘设计。,dictionary_v1,2025-09-28
无线充不稳,无线充电中断;Wireless Charging Unstable,Symptom,充电;硬件相关,**定义**: 无线充电过程中频繁中断。 **判定口径**: 中断率 >5%。 **常见场景**: 位置偏移。 **排查路径**: 检查线圈对准→EMC干扰。 **对策**: 优化线圈设计，改善异物检测。,dictionary_v1,2025-09-28
快充不生效,快充失败;Fast Charging Fail,Symptom,充电;硬件相关,**定义**: 手机无法进入快充模式。 **判定口径**: 实测功率 <10W。 **常见场景**: 非匹配适配器。 **排查路径**: 检查协议→电路设计。 **对策**: 增强快充兼容性。,dictionary_v1,2025-09-28
待机掉电快,High Standby Power;待机耗电大,Symptom,电池;软件相关,**定义**: 手机在待机时掉电快。 **判定口径**: 待机功耗 >1%/h。 **常见场景**: 应用后台异常。 **排查路径**: 检查系统进程→基带状态。 **对策**: 优化后台管控，降低常驻功耗。,dictionary_v1,2025-09-28
电池鼓包,Battery Swelling;电池膨胀,Symptom,安全相关;硬件相关,**定义**: 电池外形鼓起。 **判定口径**: 厚度增加 >10%。 **常见场景**: 长期充电/老化。 **排查路径**: 检查循环次数→气体析出。 **对策**: 严格寿命管控，优化材料。,dictionary_v1,2025-09-28
电量显示异常,Inaccurate Battery Indicator;电量不准,Symptom,电池;软件相关,**定义**: 电量显示与实际不符。 **判定口径**: 偏差 >10%。 **常见场景**: 电量跳变。 **排查路径**: 检查计量芯片→软件校准。 **对策**: 增加自学习算法，优化校准机制。,dictionary_v1,2025-09-28
自动关机,Unexpected Shutdown;无故关机,Symptom,电池;硬件相关,**定义**: 手机电量充足时自动关机。 **判定口径**: 电量 >20% 突然关机。 **常见场景**: 电池老化/低温。 **排查路径**: 检查电池内阻→PMIC。 **对策**: 增加低温补偿，优化电源管理。,dictionary_v1,2025-09-28
自动重启,意外重启;Auto Reboot,Symptom,系统稳定性;软件相关,**定义**: 手机非人为操作重启。 **判定口径**: 重启频率 >1 次/天。 **常见场景**: 系统升级、APP异常。 **排查路径**: 分析log→排查内存/电源。 **对策**: 优化系统稳定性，修复Bug。,dictionary_v1,2025-09-28
应用闪退,App Crash;APP崩溃,Symptom,用户体验;软件相关,**定义**: 应用运行中意外关闭。 **判定口径**: 崩溃率 >1%。 **常见场景**: 高内存占用。 **排查路径**: 查看log→内存泄漏。 **对策**: 优化APP，完善异常捕获。,dictionary_v1,2025-09-28
系统升级失败,OTA失败;OTA Fail,Symptom,系统升级;软件相关,**定义**: OTA升级无法完成。 **判定口径**: 升级失败率 >1%。 **常见场景**: 网络中断、存储不足。 **排查路径**: 检查下载包→存储空间。 **对策**: 增强断点续传，提示存储清理。,dictionary_v1,2025-09-28
恶意重启,Reboot Loop;Bootloop,Symptom,系统启动;软件相关,**定义**: 系统不断重启。 **判定口径**: 启动失败 >3 次。 **常见场景**: 系统损坏、刷机失败。 **排查路径**: 检查启动镜像→硬件异常。 **对策**: 增加恢复模式，优化刷机校验。,dictionary_v1,2025-09-28
网络不稳定,信号掉线;Network Unstable,Symptom,可靠性;通信相关,**定义**: 移动网络频繁中断。 **判定口径**: 掉线率 >3%。 **常见场景**: 弱信号。 **排查路径**: 检查基带→天线设计。 **对策**: 优化射频匹配，改进算法。,dictionary_v1,2025-09-28
无法通话,语音通话失败;Call Fail,Symptom,功能;通信相关,**定义**: 无法接通语音通话。 **判定口径**: 呼叫失败率 >1%。 **常见场景**: 弱信号、运营商限制。 **排查路径**: 检查基带→网络配置。 **对策**: 增强兼容性，优化协议。,dictionary_v1,2025-09-28
